Località,Latitudine,Longitudine,Note
Asola_v_Industria,45.2201,10.4130,Coordinate riferite al centro di Asola
Bagolino_SP669,45.8263,10.4606,Comune di Bagolino (BS)
Bione,45.9436,9.8405,Centro del comune di Bione (BS)
Bovegno_ponte_Zigole,45.7912,10.2701,Coordinate area Bovegno
Breno_Lago_Della_Vacca,46.2010,10.4440,Area montana sopra Breno
Brescia_ITAS_Pastori,45.5338,10.2156,Istituto Tecnico Agrario G. Pastori – Brescia
Brescia_v_Ziziola,45.5330,10.2110,Quartiere est di Brescia
Caino,45.8199,10.3750,Centro del comune
Chiari,45.5400,9.9610,Centro del comune
Corzano_Bargnano,45.4386,10.0231,Comune di Corzano – frazione Bargnano
Gambara_v_Parma,45.4144,10.2619,Centro di Gambara
Idro_Frana,45.7364,10.4731,Comune di Idro / Lago d'Idro (BS)
Magasa_Malga_Corva,45.7330,10.4600,Area di Magasa – Val Vestino
Manerbio_v_Dante,45.4265,10.2260,Centro di Manerbio
Montichiari_Boschetti,45.4168,10.3586,Area di Montichiari
Odolo_vPraes,45.6463,10.3847,Comune di Odolo (BS)
Padenghe_sul_Garda,45.5526,10.5358,Comune sul lago di Garda
Pisogne,46.0026,10.1680,Comune sul lago d’Iseo
Puegnago_del_Garda,45.5880,10.4800,Comune collinare vicino al Garda
Sarezzo_v_della_Fonte,45.6087,10.2655,Centro di Sarezzo
Soncino_v_Brescia,45.4600,9.8670,Comune di Soncino
Tavernole_sul_Mella_Monte_Guglielmo,45.7650,10.2350,Tavernole sul Mella (Monte Guglielmo poco più a nord)
Toscolano_Maderno,45.6024,10.5411,Comune sul lago di Garda
