Model,2025-09-07 12:00:00,2025-09-08 12:00:00,2025-09-09 12:00:00,2025-09-10 12:00:00,2025-09-11 12:00:00,2025-09-12 12:00:00,2025-09-13 12:00:00,2025-09-14 12:00:00,2025-09-15 12:00:00,2025-09-16 12:00:00,2025-09-17 12:00:00,2025-09-18 12:00:00,2025-09-19 12:00:00,2025-09-20 12:00:00,2025-09-21 12:00:00,2025-09-22 12:00:00,2025-09-23 12:00:00,2025-09-24 12:00:00,2025-09-25 12:00:00,2025-09-26 12:00:00,2025-09-27 12:00:00,2025-09-28 12:00:00,2025-09-29 12:00:00,2025-09-30 12:00:00,2025-10-01 12:00:00,2025-10-02 12:00:00,2025-10-03 12:00:00,2025-10-04 12:00:00,2025-10-05 12:00:00,2025-10-06 12:00:00,2025-10-07 12:00:00,2025-10-08 12:00:00,2025-10-09 12:00:00,2025-10-10 12:00:00,2025-10-11 12:00:00,2025-10-12 12:00:00
Observation,29100,17887,12363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06Z GFS Mean 09 Sep,,,,13708,31766,32583,28727,33405,46095,42873,36165,37807,32068,27860,25510,23686,26024,27696,,,,,,,,,,,,,,,,,,
00Z GFS Mean 08 Sep,,20598,13770,14028,34851,34587,26375,34531,38716,30374,26886,27529,28953,28430,28987,27298,27709,25334,25481,24582,23062,24871,25796,25795,23691,23677,27654,27652,28708,24574,25345,27759,27359,27302,25350,25970
00Z GFS Mean 09 Sep,,,16736,15153,33008,34547,30597,38454,42080,35963,33039,30600,29663,27263,26087,26245,25921,28275,,,,,,,,,,,,,,,,,,
00Z GFS Mean 10 Sep,,,,13337,31878,34395,28521,33856,43150,41105,36694,35320,37234,33329,35044,28839,25337,23881,23874,,,,,,,,,,,,,,,,,
00Z EC Mean 10 Sep,,,,12717,33128,33432,28064,29918,45480,35646,28965,29720,28563,30472,30101,27629,26640,26678,,,,,,,,,,,,,,,,,,
00Z EC Mean 09 Sep,,,14092,13642,31498,35966,28532,35903,40174,24122,21416,27293,28458,29262,31220,28803,26290,,,,,,,,,,,,,,,,,,,
00Z EC Mean 08 Sep,,18337,14522,13053,29543,31677,26588,30819,39757,32723,27821,26430,27945,29466,26559,24278,,,,,,,,,,,,,,,,,,,,
Climate,23995,23952,23899,23851,23819,23797,23784,23786,23806,23832,23873,23934,24004,24068,24128,24191,24251,24279,24276,,,,,,,,,,,,,,,,,



